date,close,symbol
2017-05-18,67.71,MSFT
2017-05-19,67.69,MSFT
2017-05-22,68.45,MSFT
2017-05-23,68.68,MSFT
2017-05-24,68.77,MSFT
2017-05-25,69.62,MSFT
2017-05-26,69.96,MSFT
2017-05-30,70.41,MSFT
2017-05-31,69.84,MSFT
2017-06-01,70.1,MSFT
2017-06-02,71.76,MSFT
2017-06-05,72.28,MSFT
2017-06-06,72.52,MSFT
2017-06-07,72.39,MSFT
2017-06-08,71.95,MSFT
2017-06-09,70.32,MSFT
2017-06-12,69.78,MSFT
2017-06-13,70.65,MSFT
2017-06-14,70.27,MSFT
2017-06-15,69.9,MSFT
2017-06-16,70.0,MSFT
2017-06-19,70.87,MSFT
2017-06-20,69.91,MSFT
2017-06-21,70.27,MSFT
2017-06-22,70.26,MSFT
2017-06-23,71.21,MSFT
2017-06-26,70.53,MSFT
2017-06-27,69.21,MSFT
2017-06-28,69.8,MSFT
2017-06-29,68.49,MSFT
2017-06-30,68.93,MSFT
2017-07-03,68.17,MSFT
2017-07-05,69.08,MSFT
2017-07-06,68.57,MSFT
2017-07-07,69.46,MSFT
2017-07-10,69.98,MSFT
2017-07-11,69.99,MSFT
2017-07-12,71.15,MSFT
2017-07-13,71.77,MSFT
2017-07-14,72.78,MSFT
2017-07-17,73.35,MSFT
2017-07-18,73.3,MSFT
2017-07-19,73.86,MSFT
2017-07-20,74.22,MSFT
2017-07-21,73.79,MSFT
2017-07-24,73.6,MSFT
2017-07-25,74.19,MSFT
2017-07-26,74.05,MSFT
2017-07-27,73.16,MSFT
2017-07-28,73.04,MSFT
2017-07-31,72.7,MSFT
2017-08-01,72.58,MSFT
2017-08-02,72.26,MSFT
2017-08-03,72.15,MSFT
2017-08-04,72.68,MSFT
2017-08-07,72.4,MSFT
2017-08-08,72.79,MSFT
2017-08-09,72.47,MSFT
2017-08-10,71.41,MSFT
2017-08-11,72.5,MSFT
2017-08-14,73.59,MSFT
2017-08-15,73.22,MSFT
2017-08-16,73.65,MSFT
2017-08-17,72.4,MSFT
2017-08-18,72.49,MSFT
2017-08-21,72.15,MSFT
2017-08-22,73.16,MSFT
2017-08-23,72.72,MSFT
2017-08-24,72.69,MSFT
2017-08-25,72.82,MSFT
2017-08-28,72.83,MSFT
2017-08-29,73.05,MSFT
2017-08-30,74.01,MSFT
2017-08-31,74.77,MSFT
2017-09-01,73.94,MSFT
2017-09-05,73.61,MSFT
2017-09-06,73.4,MSFT
2017-09-07,74.34,MSFT
2017-09-08,73.98,MSFT
2017-09-11,74.76,MSFT
2017-09-12,74.68,MSFT
2017-09-13,75.21,MSFT
2017-09-14,74.77,MSFT
2017-09-15,75.31,MSFT
2017-09-18,75.16,MSFT
2017-09-19,75.44,MSFT
2017-09-20,74.94,MSFT
2017-09-21,74.21,MSFT
2017-09-22,74.41,MSFT
2017-09-25,73.26,MSFT
2017-09-26,73.26,MSFT
2017-09-27,73.85,MSFT
2017-09-28,73.87,MSFT
2017-09-29,74.49,MSFT
2017-10-02,74.61,MSFT
2017-10-03,74.26,MSFT
2017-10-04,74.69,MSFT
2017-10-05,75.97,MSFT
2017-10-06,76.0,MSFT
2017-10-09,76.29,MSFT
2017-10-10,76.29,MSFT
2017-10-11,76.42,MSFT
2017-10-12,77.12,MSFT
2017-10-13,77.49,MSFT
2017-10-16,77.65,MSFT
2017-10-17,77.59,MSFT
2017-10-18,77.61,MSFT
2017-10-19,77.91,MSFT
2017-10-20,78.81,MSFT
2017-10-23,78.83,MSFT
2017-10-24,78.86,MSFT
2017-10-25,78.63,MSFT
2017-10-26,78.76,MSFT
2017-10-27,83.81,MSFT
2017-10-30,83.89,MSFT
2017-10-31,83.18,MSFT
2017-11-01,83.18,MSFT
2017-11-02,84.05,MSFT
2017-11-03,84.14,MSFT
2017-11-06,84.47,MSFT
2017-11-07,84.27,MSFT
2017-11-08,84.56,MSFT
2017-11-09,84.09,MSFT
2017-11-10,83.87,MSFT
2017-11-13,83.93,MSFT
2017-11-14,84.05,MSFT
2017-11-15,82.98,MSFT
2017-11-16,83.2,MSFT
2017-11-17,82.4,MSFT
2017-11-20,82.53,MSFT
2017-11-21,83.72,MSFT
2017-11-22,83.11,MSFT
2017-11-24,83.26,MSFT
2017-11-27,83.87,MSFT
2017-11-28,84.88,MSFT
2017-11-29,83.34,MSFT
2017-11-30,84.17,MSFT
2017-12-01,84.26,MSFT
2017-12-04,81.08,MSFT
2017-12-05,81.59,MSFT
2017-12-06,82.78,MSFT
2017-12-07,82.49,MSFT
2017-12-08,84.16,MSFT
2017-12-11,85.23,MSFT
2017-12-12,85.58,MSFT
2017-12-13,85.35,MSFT
2017-12-14,84.69,MSFT
2017-12-15,86.85,MSFT
2017-12-18,86.38,MSFT
2017-12-19,85.83,MSFT
2017-12-20,85.52,MSFT
2017-12-21,85.5,MSFT
2017-12-22,85.51,MSFT
2017-12-26,85.4,MSFT
2017-12-27,85.71,MSFT
2017-12-28,85.72,MSFT
2017-12-29,85.54,MSFT
2018-01-02,85.95,MSFT
2018-01-03,86.35,MSFT
2018-01-04,87.11,MSFT
2018-01-05,88.19,MSFT
2018-01-08,88.28,MSFT
2018-01-09,88.22,MSFT
2018-01-10,87.82,MSFT
2018-01-11,88.08,MSFT
2018-01-12,89.6,MSFT
2018-01-16,88.35,MSFT
2018-01-17,90.14,MSFT
2018-01-18,90.1,MSFT
2018-01-19,90.0,MSFT
2018-01-22,91.61,MSFT
2018-01-23,91.9,MSFT
2018-01-24,91.82,MSFT
2018-01-25,92.33,MSFT
2018-01-26,94.06,MSFT
2018-01-29,93.92,MSFT
2018-01-30,92.74,MSFT
2018-01-31,95.01,MSFT
2018-02-01,94.26,MSFT
2018-02-02,91.78,MSFT
2018-02-05,88.0,MSFT
2018-02-06,91.33,MSFT
2018-02-07,89.61,MSFT
2018-02-08,85.01,MSFT
2018-02-09,88.18,MSFT
2018-02-12,89.13,MSFT
2018-02-13,89.83,MSFT
2018-02-14,90.81,MSFT
2018-02-15,92.66,MSFT
2018-02-16,92.0,MSFT
